question,tweet_id
What does Kylian Mbappé mean by 'it's going very well'?,1831700881982505134
What trophy has Real Madrid won with Kylian Mbappé?,1831700881982505134
Are there salary issues between Kylian Mbappé and PSG?,1831700881982505134
Has Tyrell Malacia been included in Manchester United's 25-man Europa League squad for this season?,1831696177441407156
Is Casemiro going to Galatasaray despite recent links?,1831696177441407156
Will Casemiro not be playing for Galatasaray?,1831696177441407156
Djed Spence has been left out of Tottenham Europa League squad?,1831695589945249851
Sergio Reguilon has been left out of Tottenham Europa League squad?,1831695589945249851
Tottenham's Europa League squad can be changed in January 2025?,1831695589945249851
Who has been left out of Chelsea's squad for the next stage of Conference League?,1831691437215277458
"Why were Wesley Fofana, Cole Palmer and Romeo Lavia left out?",1831691437215277458
"What is the reason behind the decision to leave out Wesley Fofana, Cole Palmer and Romeo Lavia?",1831691437215277458
"Djordje Petrović agreed to sign on improved terms at Chelsea, what did those terms entail?",1831686350644314505
What motivated Djordje Petrović to join Strasbourg and then have his future assessed again in June 2025?,1831686350644314505
Will Djordje Petrović's performance at Strasbourg impact any potential future plans for him at Chelsea?,1831686350644314505
Is Casemiro expected to stay at Man United until 2025?,1831674978636271624
Are concrete talks taking place between Casemiro and Galatasaray?,1831674978636271624
Did Erik ten Hag make a statement about Casemiro's future?,1831674978636271624
Is Ter Stegen happy at Barça?,1831659884703609003
What is Ter Stegen's contractual situation like?,1831659884703609003
Why does Ter Stegen say he is satisfied with his future?,1831659884703609003
Who is Rico Lewis?,1831643436715331614
What are loan proposals?,1831643436715331614
Rico Lewis says he never thought about going where?,1831643436715331614
Eberl said Bayern are very surprised Jamal Musiala is missing from Ballon d'Or list?,1831642459408916714
Who told DPA it's completely incomprehensible?,1831642459408916714
Why is Jamal Musiala missing from the Ballon d'Or?,1831642459408916714
Who did Osimhen say was special about Galatasaray fans?,1831639174606176369
What did Onyekuru tell Osimhen about Galatasaray fans?,1831639174606176369
Why was Osimhen already following Galatasaray?,1831639174606176369
Neymar Jr believe Rodrygo minimum top 5 in the world?,1831627292230951303
Who is Neymar Jr saying Craque about?,1831627292230951303
Is Rodrygo not among Ballon d'Or top 30?,1831627292230951303
Who is John Terry commenting on?,1831624920440119505
What does John Terry mean by 'top player'?,1831624920440119505
Is Rio Ngumoha joining Liverpool?,1831624920440119505
Who has just signed with Western Sydney Wanderers?,1831623098086359211
What championships did Juan Mata win before signing with Western Sydney Wanderers?,1831623098086359211
Is Juan Mata aiming to win another championship in Australia?,1831623098086359211
Who did Flamengo make contact with to replace Pedro?,1831614531807654163
Is Anthony Martial considering several options for his future?,1831614531807654163
What is the status of Pedro's ACL injury?,1831614531807654163
Who is Xavier Parker?,1831613926372450490
Which club did Manchester City sign Xavier Parker from?,1831613926372450490
What position does Xavier Parker play for Manchester City's Academy?,1831613926372450490
Are Antony and Fenerbahçe linked?,1831588323816518047
Is Man Utd project a commitment for Antony?,1831588323816518047
Will Antony leave Manchester United this summer?,1831588323816518047
Liverpool convinced they have signed Rio Ngumoha?,1831581025929183690
Who left Chelsea academy to sign with Liverpool?,1831581025929183690
Is Rio considered a big talent for present and future?,1831581025929183690
Which club tried to sign Dani Ceballos?,1831572972941013292
Was the transfer a possibility on loan for Monaco?,1831572972941013292
Did Real Madrid consider a loan formula?,1831572972941013292
Is Rodrygo excluded from Ballon d'Or top 30 nominees?,1831448282692014272
Why is Rodrygo excluded from Ballon d'Or top 30 nominees?,1831448282692014272
What does Rodrygo's exclusion from Ballon d'Or top 30 nominees mean?,1831448282692014272
Will Adama Bojang sign with Grasshopper Club Zurich for the season?,1831431423301185966
Is there an option to buy included in the loan deal?,1831431423301185966
When is the medical and signing scheduled?,1831431423301185966
Sérgio Oliveira has signed which club?,1831413459105542222
Which team did Sérgio Oliveira leave to join Olympiacos?,1831413459105542222
Did Galatasaray release Sérgio Oliveira or was his contract terminated?,1831413459105542222
Who did you vote as Ballon d'Or winner?,1831412632659923222
What is Ballon d'Or winner?,1831412632659923222
Who will you vote Ballon d'Or winner?,1831412632659923222
"Cristiano Ronaldo and Leo Messi out of Ballon d'Or nominees for the first time since 2003, what year was it in?",1831405010879644101
Who are the current Ballon d'Or nominees?,1831405010879644101
What is the significance of the year 2003?,1831405010879644101
Liverpool sign Rio Ngumoha?,1831404264234897686
What academy did Rio Ngumoha leave before joining Liverpool?,1831404264234897686
Is Chelsea Academy involved in Rio Ngumoha's past?,1831404264234897686
Mats Hummels joins AS Roma on one year deal,1831393630835372508
What is the length of Mats Hummels' contract with AS Roma?,1831393630835372508
Is Mats Hummels signing with AS Roma for a year?,1831393630835372508
"Miguel Veloso has retired from professional football, is he joining Pisa backroom staff permanently?",1831388215485599846
What is the league level of the team Miguel Veloso has joined?,1831388215485599846
When did Miguel Veloso join Pisa backroom staff?,1831388215485599846
Mats Hummes signed for AS Roma until June 2025?,1831386243021824144
What is the duration of Mats Hummes' contract with AS Roma?,1831386243021824144
Is Mats Hummes a new player for AS Roma?,1831386243021824144
João Mario moving to Besiktas from Benfica?,1831385868793475384
What is the outcome of João Mario's meeting with his agents?,1831385868793475384
Is the move to Besiktas a completed transfer for João Mario?,1831385868793475384
Who is Victor Osimhen?,1831382793315873123
What number will Victor Osimhen wear at Galatasaray?,1831382793315873123
Is there a report about Victor Osimhen's jersey number at Galatasaray today?,1831382793315873123
Liverpool complete what process for Rio Ngumoha to join the club?,1831380852447891777
What investigation process did Liverpool complete for Ngumoha's move?,1831380852447891777
Did Chelsea allow Rio Ngumoha to leave the club?,1831380852447891777
Who are the Best Goalkeeper nominees at the Ballon d'Or?,1831375092439458168
What are their qualifications for being nominated?,1831375092439458168
Which of them would win a vote among football fans?,1831375092439458168
Who are the nominees for Team of the Year at the Ballon d'Or?,1831374200445268429
Which teams are being considered as best one?,1831374200445268429
What is the process for voting on the team?,1831374200445268429
What Coach of the Year candidates is being considered for the Ballon d'Or?,1831373528333218201
Who do you think would be voted as Best Coach by fans?,1831373528333218201
What criteria are used to determine the Best Coach at the Ballon d'Or?,1831373528333218201
Who are the nominees for the Kopa Trophy?,1831371963279028409
What is the criteria to vote for the Best Young Talent at the Ballon d'Or?,1831371963279028409
Are Kylian Mbappé and Erling Haaland among the nominees?,1831371963279028409
Does Victor Osimhen join Galatasaray on loan deal from Napoli?,1831365761136521229
Is there a buy option or obligation for Galatasaray to purchase Victor Osimhen's contract?,1831365761136521229
What is the new release clause value for Victor Osimhen?,1831365761136521229
Sergio Oliveira is undergoing medical tests for what reason?,1831322029032882444
What team is Sergio Oliveira leaving to join Olympiacos?,1831322029032882444
How long is Sergio Oliveira's contract with Olympiacos?,1831322029032882444
Is Victor Osimhen Galatasaray's new number 4️⃣5️⃣?,1831309860329103810
Was Victor Osimhen' request for a specific jersey number granted by Galatasaray?,1831309860329103810
What is the link provided by the journalist about Victor Osimhen?,1831309860329103810
Who has signed their contract at Galatasaray?,1831308761580884129
What is the duration of Victor's loan from Napoli?,1831308761580884129
Does the deal include a buy option or obligation clause for Galatasaray?,1831308761580884129
Who told CNN about playing at Real Madrid?,1831299598498791931
What is best club according to Vinicius Jr?,1831299598498791931
Where is the best place to be with family for Vinicius Jr?,1831299598498791931
Does Dani Carvajal hope to stay at Real Madrid for many years?,1831294095152583156
Is MLS a possibility for Dani Carvajal after leaving Real?,1831294095152583156
Will Dani Carvajal play in Europe if he decides not to be at Real?,1831294095152583156
Martin Zubimendi rejected Liverpool move without pressure from his close circle,1831283706520088612
What was the reason for Martin Zubimendi's decision to reject Liverpool move,1831283706520088612
Were Martin Zubimendi's friends involved in his decision-making process about rejecting Liverpool move,1831283706520088612
Mats Hummels signed one year contract with AS Roma?,1831283666439323720
What is Mats Hummels' new position at AS Roma?,1831283666439323720
How long will Mats Hummels be playing for AS Roma?,1831283666439323720
Is Kostas Manolas saying there is no truth to reports about his return to AS Roma?,1831262917297070536
Will Mats Hummels be playing as centre back for AS Roma after deal agreement?,1831262917297070536
What are the latest reports about Mats Hummels joining AS Roma?,1831262917297070536
"Mats Hummels to AS Roma, is it a done deal?",1831250599033086457
What is Mats Hummels' new salary with add-ons at AS Roma?,1831250599033086457
Is Mats Hummels' contract with AS Roma until June 2025?,1831250599033086457
Did Danilo Pereira arrive in Saudi Arabia?,1831250401154236670
What is the value of the deal between PSG and Al Ittihad for Danilo Pereira?,1831250401154236670
Who is the new player that became part of Al Ittihad after signing a €5m deal with PSG?,1831250401154236670
"Sérgio Oliveira agreed to terminate his contract with Galatasaray last night, did he?",1831247643973943789
What is the reason for Galatasaray not having signed documents yet?,1831247643973943789
When are Sérgio Oliveira and Olympiacos planning to fly to Athens?,1831247643973943789
Sérgio Oliveira to Olympiacos on a two year contract plus one year option?,1831233217157808598
Galatasaray releasing Sérgio Oliveira to join Olympiacos?,1831233217157808598
Willian also joining Olympiacos?,1831233217157808598
Toney will receive £400k per week after tax?,1831232478645719422
What is Toney's contract length?,1831232478645719422
How much would Toney earn after tax in the UK?,1831232478645719422
Maresca wants Noni Madueke to push himself?,1831225688633819439
What does Noni Madueke strive to be?,1831225688633819439
Does every single training session with Maresca help Noni Madueke get the best out of himself?,1831225688633819439
Who is Palace chairman?,1831217630729871767
What are Bayern's aspirations for Olise?,1831217630729871767
Which clubs does Palace want to sell players to?,1831217630729871767
Did Olympique Lyon agree to sign Jordan Veretout from OM?,1831210594780807228
What is the fixed fee amount in the deal for Jordan Veretout to join Olympique Lyon?,1831210594780807228
Will Jordan Veretout undergo a medical examination today in Lyon?,1831210594780807228
Did Chelsea make £6m profit with Angelo's sale?,1831123860927774908
Is there a sell-on clause included in the deal for Angelo?,1831123860927774908
How many years did it take to complete Angelo's transfer to Al Nassr?,1831123860927774908
Who signs as new Al Riyadh player?,1831091215011631398
What is Vincent Angelini's age?,1831091215011631398
How long is Vincent Angelini's contract with Al Riyadh?,1831091215011631398
Mats Hummels will undergo medical tests on Wednesday?,1831089178165289018
AS Roma plans to complete the deal after medical tests?,1831089178165289018
When is the expected completion of the deal?,1831089178165289018
Azzedine Ounahi moved from Olympique Marseille to Panathinaikos for how much?,1831083006158930341
What is Azzedine Ounahi's new club after moving from Olympique Marseille?,1831083006158930341
Did Azzedine Ounahi land in Athens as part of his move from Olympique Marseille?,1831083006158930341
Who said 'We didn't have in Eberechi Eze the interest I thought we would have'?,1831058359023439898
What was Steve Parish's reaction to this situation?,1831058359023439898
What did Crystal Palace chairman Steve Parish tell Sky?,1831058359023439898
Who sent an improved contract proposal to Mats Hummels?,1831054144834326598
What did AS Roma sell to send the proposal?,1831054144834326598
Is Mats Hummels available as a free agent?,1831054144834326598
Is Kevin De Bruyne saying he hasn't spoken to anyone about Saudi move?,1831043587955658904
What kind of noises and news is Kevin De Bruyne referring to?,1831043587955658904
Has Kevin De Bruyne received any job offers?,1831043587955658904
Is Kevin De Bruyne's City contract due to expire in June?,1831042896856015047
What does Kevin De Bruyne want to feel when he plays football?,1831042896856015047
Will there be a rush for talks about Kevin De Bruyne's contract once the season goes on?,1831042896856015047
Cole Palmer has withdrawn from England squad,1831038103898976550
Who will spend the rest of the international break at Cobham,1831038103898976550
Chelsea confirm withdrawal of which player,1831038103898976550
Does Raheem Sterling use number 30 at Arsenal?,1831005708306813162
What is Raheem Sterling's new jersey number at Arsenal?,1831005708306813162
How many does Raheem Sterling choose for his new jersey number at Arsenal?,1831005708306813162
Malo Gusto has a thigh injury?,1830987826957045837
Chelsea confirm Malo Gusto withdrawal from France Under-21 squad?,1830987826957045837
What is the extent of Malo Gusto's thigh injury?,1830987826957045837
Was Real Betis approached by Manchester United for Christian Erisen?,1830981227819540499
Did Man United have an agreement with Real Betis on player side for Christian Erisen?,1830981227819540499
Was a formal bid sent by Ajax to Manchester United for Christian Eriksen?,1830981227819540499
Lucas Ocampos join Rayados from Sevilla?,1830979376785379492
Why did West Ham never consider signing Lucas Ocampos?,1830979376785379492
What happened to links between West Ham and Lucas Ocampos?,1830979376785379492
Mauricio Pochettino prepared to sign this week as new USMNT head coach?,1830967287236698275
Will all legal topics be resolved and contracts ready for Mauricio Pochettino's signing?,1830967287236698275
Can formal steps follow this week if everything goes according to plan with Mauricio Pochettino?,1830967287236698275
Furlani is saying Milan has full support for whom?,1830965428535054711
What is the current team point total according to Furlani's statement?,1830965428535054711
Is there panic at AC Milan about their preseason performance?,1830965428535054711
What does Manu Ugarte think about Man United?,1830959247338918118
How long has Manu Ugarte been waiting to join Man United?,1830959247338918118
What is Mano Ugarte's opinion on what makes Man United legendary?,1830959247338918118
Who is Jadon Sancho training with?,1830949410252976208
What is the status of Sancho's debut as a Chelsea player?,1830949410252976208
Which team will Sancho play against at the end of next week?,1830949410252976208
Toni Kroos playing for B2B United at the Icon league this weekend?,1830948838816760196
Who is Toni Kroos playing for this weekend?,1830948838816760196
What league is Toni Kroos playing in this weekend?,1830948838816760196
Ajax is waiting for what from FIFA?,1830943427099533372
What documents are still pending for loan deal approval?,1830943427099533372
Sulemana's camp is waiting for approval on what?,1830943427099533372
Laporta made a special mention for Lewandowski,1830940447486968237
Lewandowski committed to the club,1830940447486968237
Lewandowski lowered his contract to help the club,1830940447486968237
Koeman again said what about Bergwijn's decision?,1830930635994607953
Why did Koeman think Bergwijn should stay at Ajax?,1830930635994607953
Is Saudi Arabia paying more than Ajax for Bergwijn?,1830930635994607953
Why did Gündogan leave Barça for sporting reasons?,1830927232241373191
What was Gündogan's role after Dani Olmo signed with Barça?,1830927232241373191
Why is Gündogan an excellent player and person?,1830927232241373191
Why did Barça decide to plan for the squad in a different way?,1830925346117402978
What were the reasons behind João Félix and Cancelo leaving Barça?,1830925346117402978
Did Barça try to keep both players on loan?,1830925346117402978
"Laporta said Barça was ready to sign players of high-level contracts, does this apply to other transfers?",1830920592310116615
Does Dani Olmo's arrival prove Laporta correct about previous claims?,1830920592310116615
What kind of contracts did Laporta say Barça was ready to offer?,1830920592310116615
Laporta say what about winning mentality?,1830919746482565497
Is La Masia core of Barça project?,1830919746482565497
Deco did what job for getting Hansi Flick?,1830919746482565497
Laporta say Barça was in risk and out of control three years ago?,1830919018686959726
What kind of recovery has Laporta worked on at Barça?,1830919018686959726
"Is Barça now better financially, socially, and sportingly according to Laporta?",1830919018686959726
Frenchie de Jong not ready yet because of ankle damage?,1830900071929438417
How long has Frenkie de Jong been recovering from his injury?,1830900071929438417
Will Frenkie de Jong be fit to play in the next match?,1830900071929438417
Luis Suárez has announced his retirement from international football?,1830895147598377378
How many apparances did Luis Suárez have for Uruguay?,1830895147598377378
What is Luis Suárez' record as top scorer in Uruguay history?,1830895147598377378
Who is going to Saudi Arabia at age 26?,1830889568280715523
What is the reason for Steven Bergwijn's move having nothing to do with sportive ambition?,1830889568280715523
Is Steven Bergwijn's book with the Dutch National Team really closed?,1830889568280715523
Are Real Madrid staff worried about Aurelien Tchouameni and Ferland Mendy injuries?,1830868329239581119
Will Aurelien Tchouameni be fit after the international break?,1830868329239581119
When will Dani Ceballos return?,1830868329239581119
Is Man Utd CEO Berrada saying they still believe in Erik ten Hag?,1830863799899037830
Does Man Utd think Erik ten Hag is the right coach for them?,1830863799899037830
Will Man Utd be fully backing Erik ten Hag?,1830863799899037830
Who is Dan Ashworth?,1830855494602248427
What does Erik ten Hag need support with?,1830855494602248427
What is the goal for Man Utd according to Dan Ashworth?,1830855494602248427
What was Man Utd's reason for selling Sancho?,1830848203467509951
What does Dan Ashworth mean by 'cover it'?,1830848203467509951
How many wide players did Dan Ashworth say Man Utd had?,1830848203467509951
Who is Alex Telles?,1830748607227596959
What is the length of Alex Telles' new contract with Botafogo?,1830748607227596959
Where did Alex Telles terminate his previous contract before joining Botafogo?,1830748607227596959
Wolves sold Podence to Al Shabab for €5m fee?,1830745597978062989
What is the percentage of sell-on clause included in the deal?,1830745597978062989
How much does Al Shabab pay Wolves as part of the deal?,1830745597978062989
What does FC Porto statement say about Galeno deal?,1830730740428087426
Who is total agreement with regarding Galeno deal?,1830730740428087426
Why are FC Porto happy to keep Galeno at the club?,1830730740428087426
Who is taking Victor Osimhen on his private flight?,1830728106333872638
What city is Victor Osimhen's private flight heading to?,1830728106333872638
Is Victor Osimhen's private flight currently in transit?,1830728106333872638
Who signs in as new Al Ittihad player from Ajax?,1830727881141444894
What club side confirms Steven Bergwijn's signing?,1830727881141444894
Who are Steven Bergwijn's agents with HCM Sports Management?,1830727881141444894
Is Man United CEO Omar Berrada stating full support for Erik ten Hag?,1830726982335689208
What is the nature of the work that Omar Berrada has done with Erik ten Hag in this transfer window?,1830726982335689208
Will Erik ten Hag continue to get close results out of his team according to Omar Berrada?,1830726982335689208
Will Victor Osimhen join Galatasaray?,1830720666812715070
What is Victor Osimhen's release clause with Napoli?,1830720666812715070
Can Napoli extend Victor Osimhen's contract until 2027?,1830720666812715070
Will Victor Osimhen's new release clause be triggered from 2025?,1830720201744359781
What is the value of Victor Osimhen's new release clause?,1830720201744359781
Is Galatasarary loan affected by Napoli's agreement on Victor Osimhen's release clause?,1830720201744359781
Who is Kamaldeen Sulemana?,1830719192359936242
What kind of deal did Ajax make for him?,1830719192359936242
How much will it cost to buy Kamaldeen Sulemana permanently?,1830719192359936242
Who joins Al Nassr from Chelsea on permanent deal?,1830715747686859248
What is the fee for Angelo's transfer to Al Nassr?,1830715747686859248
Is there a sell-on clause included in Angelo's transfer?,1830715747686859248
Has Victor Osimhen's camp travelled to Istanbul yet?,1830712438842372117
Will Galatasaray approve January break clause if top clubs want to sign Osimhen?,1830712438842372117
Is Napoli's release clause for Victor Osimhen €75m?,1830712438842372117
Who is signing with Al-Fayha FC?,1830710908361806189
What is the length of Chris Smalling's deal?,1830710908361806189
Who is Chris Smalling's agent?,1830710908361806189
Who has joined Al Ittihad?,1830705604559564931
How much did Danilo Pereira get paid to join Al Ittihad?,1830705604559564931
From which team did Danilo Pereira transfer?,1830705604559564931
What is the price of Steven Bergwijn's package deal?,1830702176080916841
Is Galeno's deal with Porto collapsing?,1830702176080916841
Did Steven Bergwijn complete medical tests?,1830702176080916841
Who has just landed in Portugal?,1830701313312866619
What is FC Porto player?,1830701313312866619
Is this an exclusive news?,1830701313312866619
Who signs in as new Olympiacos player?,1830695053498441760
What kind of transfer does Willian get?,1830695053498441760
Where is Willian going to play?,1830695053498441760
Who is Angelo Gabriel?,1830692060749553892
Which team did Angelo Gabriel leave to join Al Nassr?,1830692060749553892
What was the fee paid by Al Nassr for Angelo Gabriel?,1830692060749553892
Mario Hermoso signs as what position with AS Roma?,1830680458285183079
What is Mario Hermoso's role at AS Roma?,1830680458285183079
Is Mario Hermoso a new signing for AS Roma?,1830680458285183079
Who signed his contract as new Al-Fahya FC?,1830679146948895050
What is the length of Chris Smalling's deal with Al-Fahya FC?,1830679146948895050
Which team did Chris Smalling join from before signing with Al-Fahya FC?,1830679146948895050
Is Victor Osimhen flying to Istanbul tonight?,1830674823267192912
Are documents being reviewed right now for Osimhen's travel?,1830674823267192912
Will Victor Osimhen arrive in Istanbul later tonight?,1830674823267192912
Who has accepted to join Galatasaray on loan?,1830671778462474725
What is Victor Osimhen asking for release clause at Napoli to become?,1830671778462474725
When does Victor Osimhen want a break clause in his contract?,1830671778462474725
